METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sprintcore,swiftcore,fastcore
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine synthesis (need phenylalanine),true,true,true
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine degradation,FAIL (should NOT fail),FAIL (should NOT fail),true
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine to adrenaline,FAIL (should NOT fail),true,true
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine to dopamine,FAIL (should NOT fail),true,true
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine to acetoacetate and fumarate,FAIL (should NOT fail),FAIL (should NOT fail),true
AMINO ACIDS METABOLISM,VALINE METABOLISM,Valine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,VALINE METABOLISM,Valine degradation,true,true,true
AMINO ACIDS METABOLISM,VALINE METABOLISM,Valine to succinyl-coA,true,true,true
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Hydroxymethylglutaryl-CoA synthesis,true,true,true
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Cholesterol synthesis,true,true,true
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Acetoacetate synthesis,true,true,true
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Mevalonate synthesis,true,true,true
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Farnesyl-pyrophosphate synthesis,true,true,true
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Glycerol-3-phosphate synthesis,true,true,true
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-choline synthesis,true,true,true
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-ethanolamine synthesis,true,true,true
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-serine synthesis,true,true,true
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-inositol synthesis,true,true,true
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Cardiolipin synthesis,true,true,true
LIPIDS METABOLISM,TRIACYLGLYCEROL METABOLISM,Triacylglycerol synthesis,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,SPHINGOLIPID METABOLISM,Sphingomyelin synthesis,true,true,true
LIPIDS METABOLISM,SPHINGOLIPID METABOLISM,Ceramide synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitate synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitate degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitolate synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitolate degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,cis-vaccenic acid synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,cis-vaccenic acid degradation,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Elaidate synthesis,true,true,true
LIPIDS METABOLISM,FATTY ACID METABOLISM,Elaidate degradation,true,true,true
